,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance_x,Performance_x,Performance_x,Performance_x,Performance_x,Performance_x,Performance_x,Performance_x,Performance_x,Performance_x,Performance_x,Performance_x,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries_x,Carries_x,Take-Ons_x,Take-Ons_x,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons_y,Take-Ons_y,Take-Ons_y,Take-Ons_y,Take-Ons_y,Carries_y,Carries_y,Carries_y,Carries_y,Carries_y,Carries_y,Carries_y,Carries_y,Receiving,Receiving,Performance_y,Performance_y,Performance_y,Performance_y,Performance_y,Performance_y,Performance_y,Performance_y,Performance_y,Performance_y,Performance_y,Performance_y,Performance_y,Aerial Duels,Aerial Duels,Aerial Duels,club,date
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries_x,PrgC,Att,Succ,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries_y,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Unnamed: 123_level_1,Unnamed: 124_level_1
0,Roberto Firmino,9.0,br BRA,FW,27-311,85,0,1,0,0,4,1,0,0,42,1,0,1,0.8,0.8,0.3,3,1,23,30,76.7,1,26,4,5,4,23,30,76.7,244,63,18,21,85.7,2,3,66.7,1,1,100.0,1,0.3,0.1,1,0,0,0,1,30,29,1,0,0,0,0,0,0,0,0,0,23,0,1,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0,42,0,0,15,27,7,42,5,4,80.0,1,20.0,26,156,96,4,2,2,2,0,31,4,0,0,0,0,1,0,0,0,1,0,0,0,5,1,4,20.0,Liverpool,20190809
1,James Milner,7.0,eng ENG,LM,33-217,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,1,0,0,2,3,66.7,14,11,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,3,1,0,3,0,0,,0,,2,14,8,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Liverpool,20190809
2,Divock Origi,27.0,be BEL,LW,24-113,73,1,0,0,0,1,1,0,0,31,3,1,0,0.2,0.2,0.1,3,0,12,22,54.5,2,20,6,1,0,12,22,54.5,162,24,5,8,62.5,4,7,57.1,1,4,25.0,0,0.1,0.1,2,0,3,1,2,22,22,0,0,0,0,4,0,0,0,0,0,12,0,0,3,3,2,1,0,1,1,100.0,0,0,0,0,1,4,0,0,31,1,3,7,22,3,31,1,0,0.0,1,100.0,20,187,116,6,2,1,3,1,24,10,0,0,0,0,2,0,4,1,3,0,0,0,2,1,0,100.0,Liverpool,20190809
3,Sadio Mané,10.0,sn SEN,"LW,FW",27-121,17,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,11,2,1,1,9,11,81.8,79,17,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,12,0,0,5,8,2,12,1,1,100.0,0,0.0,11,102,48,2,0,3,0,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Liverpool,20190809
4,Mohamed Salah,11.0,eg EGY,"RW,FW",27-055,90,1,1,0,0,2,1,0,0,44,0,0,0,0.3,0.3,0.2,5,1,24,38,63.2,3,25,4,2,2,24,38,63.2,321,132,16,20,80.0,6,9,66.7,2,7,28.6,1,0.2,0.2,3,3,2,0,3,38,29,9,1,0,0,7,1,7,1,4,0,24,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,44,0,0,6,39,10,44,2,2,100.0,0,0.0,25,215,120,4,4,3,3,1,29,13,0,0,0,1,1,0,7,0,0,0,0,0,2,0,1,0.0,Liverpool,20190809
5,Georginio Wijnaldum,5.0,nl NED,"LM,AM",28-271,90,0,0,0,0,0,0,0,0,44,0,1,0,0.0,0.0,0.0,4,1,37,40,92.5,6,37,3,1,1,37,40,92.5,540,143,21,21,100.0,12,14,85.7,2,2,100.0,0,0.0,0.0,0,3,2,0,6,40,39,1,0,0,0,0,1,0,0,0,0,37,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,44,0,6,24,15,1,44,1,1,100.0,0,0.0,37,174,88,3,3,0,2,2,34,3,0,0,0,2,2,0,0,1,0,0,0,0,6,1,0,100.0,Liverpool,20190809
6,Fabinho,3.0,br BRA,CM,25-290,90,0,0,0,0,1,1,0,0,58,8,2,2,0.0,0.0,0.0,2,0,34,43,79.1,4,24,0,1,1,34,43,79.1,582,138,8,12,66.7,20,23,87.0,2,3,66.7,0,0.0,0.0,1,2,0,0,4,43,40,3,2,0,0,0,1,0,0,0,0,34,0,1,8,5,1,6,1,3,4,75.0,1,2,0,2,2,10,0,0,58,0,8,44,6,0,58,1,1,100.0,0,0.0,24,109,68,0,0,0,0,1,28,0,0,0,0,1,1,0,0,2,5,0,0,0,10,1,0,100.0,Liverpool,20190809
7,Jordan Henderson,14.0,eng ENG,RM,29-053,90,0,0,0,0,2,1,0,0,68,2,2,1,0.1,0.1,0.0,3,1,47,60,78.3,9,44,4,3,2,47,60,78.3,858,179,17,19,89.5,20,25,80.0,8,13,61.5,0,0.0,0.1,0,4,4,0,9,60,55,5,1,0,0,4,2,1,0,0,0,47,0,1,2,1,0,1,1,0,2,0.0,2,1,0,1,2,4,0,0,68,0,1,42,25,5,68,3,2,66.7,1,33.3,44,256,115,4,1,0,0,0,45,6,0,0,0,2,2,0,4,2,1,0,0,0,6,0,0,,Liverpool,20190809
8,Andrew Robertson,26.0,sct SCO,LB,25-151,90,0,0,0,0,2,0,0,0,93,1,1,2,0.1,0.1,0.0,1,0,71,84,84.5,12,61,3,0,0,71,84,84.5,1098,376,39,41,95.1,24,28,85.7,6,9,66.7,0,0.0,0.1,1,9,3,2,12,84,77,7,2,0,0,9,5,0,0,0,0,71,0,3,1,0,1,0,0,0,0,,0,2,0,2,1,2,1,0,93,1,12,43,38,2,93,0,0,,0,,61,369,201,3,2,0,3,1,64,6,0,0,0,0,0,0,9,1,0,0,0,0,6,1,1,50.0,Liverpool,20190809
9,Virgil van Dijk,4.0,nl NED,CB,28-032,90,1,0,0,0,1,1,0,0,70,3,5,1,0.1,0.1,0.0,0,0,50,57,87.7,5,43,0,0,0,50,57,87.7,1165,391,9,11,81.8,33,36,91.7,8,10,80.0,0,0.0,0.0,0,5,0,0,5,57,56,1,1,0,2,0,0,0,0,0,0,50,0,0,3,1,3,0,0,1,1,100.0,0,1,0,1,5,8,3,0,70,8,26,41,3,3,70,0,0,,0,,43,139,64,0,0,0,0,0,48,2,0,0,0,0,0,0,0,5,1,0,0,0,3,5,1,83.3,Liverpool,20190809
10,Joe Gomez,12.0,eng ENG,CB,22-078,90,0,0,0,0,0,0,0,0,60,2,0,3,0.0,0.0,0.0,1,0,45,54,83.3,8,34,0,0,0,45,54,83.3,849,256,10,13,76.9,32,36,88.9,2,4,50.0,0,0.0,0.0,1,4,0,0,8,54,53,1,1,0,0,0,0,0,0,0,0,45,0,0,2,1,1,1,0,0,0,,0,3,1,2,0,2,0,0,60,3,13,45,2,0,60,0,0,,0,,34,175,100,0,0,0,0,0,35,0,0,0,0,2,0,0,0,0,1,0,0,0,4,4,0,100.0,Liverpool,20190809
11,Trent Alexander-Arnold,66.0,eng ENG,RB,20-306,90,0,1,0,0,2,1,0,0,70,1,2,1,0.2,0.2,0.9,3,1,32,56,57.1,4,36,5,1,0,32,56,57.1,603,157,14,18,77.8,13,21,61.9,4,10,40.0,1,0.9,0.7,3,2,2,1,4,56,43,13,2,0,0,8,8,3,1,2,0,32,0,3,1,1,1,0,0,0,1,0.0,1,1,1,0,2,3,2,0,70,2,16,32,23,2,70,1,0,0.0,1,100.0,36,204,117,5,4,1,1,1,38,6,0,0,0,1,0,0,8,2,1,0,0,0,7,1,0,100.0,Liverpool,20190809
12,Alisson,1.0,br BRA,GK,26-311,38,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,0,7,0,0,0,10,12,83.3,232,156,1,1,100.0,7,8,87.5,2,3,66.7,0,0.0,0.0,0,0,0,0,0,12,8,4,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,13,11,13,0,0,0,13,0,0,,0,,7,29,19,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Liverpool,20190809
13,Adrián,13.0,es ESP,GK,32-218,52,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,18,77.8,0,13,0,0,0,14,18,77.8,398,253,1,1,100.0,8,8,100.0,5,9,55.6,0,0.0,0.0,0,1,0,0,0,18,13,5,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,18,19,0,0,0,19,0,0,,0,,13,60,37,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Liverpool,20190809
14,14 Players,,,,,990,3,3,0,0,15,7,0,0,627,21,14,11,1.8,1.8,1.6,25,5,410,528,77.7,54,383,32,15,11,410,528,77.7,7145,2296,164,192,85.4,182,221,82.4,43,75,57.3,3,1.6,1.4,12,33,16,4,54,528,478,50,13,0,2,32,18,11,2,6,0,410,0,11,21,13,9,10,2,5,15,33.3,10,11,2,9,14,35,6,1,627,44,117,307,209,35,627,15,11,73.3,4,26.7,383,2189,1197,32,19,10,14,8,408,54,0,0,0,9,9,0,32,14,13,0,0,0,54,15,7,68.2,Liverpool,20190809
15,Teemu Pukki,22.0,fi FIN,FW,29-133,82,1,0,0,0,3,1,0,0,26,1,1,0,0.5,0.5,0.1,4,0,9,14,64.3,2,19,1,1,0,9,14,64.3,98,17,4,4,100.0,4,6,66.7,0,1,0.0,0,0.1,0.0,2,0,1,0,2,14,14,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,26,2,3,12,11,4,26,1,0,0.0,1,100.0,19,73,33,1,0,0,2,0,19,9,0,0,0,0,1,1,0,1,1,0,0,0,2,0,3,0.0,Norwich City,20190809
16,Josip Drmić,20.0,ch SUI,FW,27-001,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,2,3,66.7,10,0,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,1,3,1,4,0,0,,0,,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Norwich City,20190809
17,Todd Cantwell,14.0,eng ENG,"LW,AM,LM",21-163,90,0,0,0,0,0,0,0,0,41,2,1,0,0.0,0.0,0.1,4,0,28,35,80.0,6,35,2,1,1,28,35,80.0,374,125,17,19,89.5,8,10,80.0,1,1,100.0,0,0.1,0.1,3,4,2,0,6,35,34,0,0,0,1,0,0,0,0,0,0,28,1,0,2,1,1,1,0,1,3,33.3,2,0,0,0,1,3,1,0,41,1,7,24,10,1,41,1,1,100.0,0,0.0,35,151,46,2,0,0,1,4,36,8,0,0,0,0,3,1,0,1,1,0,0,0,4,0,1,0.0,Norwich City,20190809
18,Emi Buendía,17.0,ar ARG,"RW,RM",22-227,90,0,1,0,0,2,2,1,0,52,1,1,3,0.1,0.1,0.4,4,1,26,38,68.4,6,28,0,4,2,26,38,68.4,379,160,13,17,76.5,11,14,78.6,1,1,100.0,1,0.4,0.3,3,3,1,0,6,38,32,4,1,1,0,1,1,2,1,0,0,26,2,1,1,0,1,0,0,1,2,50.0,1,3,0,3,1,2,1,0,52,1,5,30,17,2,52,4,2,50.0,1,25.0,28,110,39,0,1,1,1,5,32,1,1,0,0,1,1,0,1,1,0,0,0,0,3,1,2,33.3,Norwich City,20190809
19,Marco Stiepermann,18.0,de GER,AM,28-181,57,0,0,0,0,3,1,0,0,22,1,0,0,0.2,0.2,0.0,0,0,11,16,68.8,1,10,1,0,0,11,16,68.8,147,41,6,8,75.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,16,11,5,0,0,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,22,1,7,11,4,2,22,0,0,,0,,10,23,15,1,0,1,1,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0.0,Norwich City,20190809
20,Moritz Leitner,10.0,de GER,"DM,CM",26-244,33,0,0,0,0,1,0,1,0,23,0,1,0,0.0,0.0,0.0,1,0,14,17,82.4,2,15,0,0,0,14,17,82.4,208,70,8,10,80.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,2,1,0,2,17,16,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,2,0,23,1,8,10,6,1,23,0,0,,0,,15,42,22,0,0,0,1,1,16,1,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,,Norwich City,20190809
21,Tom Trybull,19.0,de GER,DM,26-153,69,0,0,0,0,1,0,0,0,49,1,1,1,0.0,0.0,0.0,0,0,31,35,88.6,0,24,0,0,0,31,35,88.6,573,122,13,15,86.7,14,15,93.3,4,4,100.0,0,0.0,0.0,0,0,0,0,0,35,34,1,1,0,1,0,0,0,0,0,0,31,0,1,1,1,0,1,0,1,5,20.0,4,1,0,1,1,2,5,0,49,8,22,27,1,1,49,0,0,,0,,24,105,25,0,0,0,2,0,22,0,0,0,0,3,1,1,0,1,1,0,0,0,6,3,0,100.0,Norwich City,20190809
22,Onel Hernández,11.0,cu CUB,LW,26-189,21,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,1,0,3,6,50.0,1,4,1,0,0,3,6,50.0,42,2,2,3,66.7,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,1,1,6,2,8,0,0,,0,,4,28,24,1,1,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,Norwich City,20190809
